Iteration,Capital,Final Reserve,Min Bound,Max Bound,Year,Reserve,Asset Yield,Liability Benefit
1,650000000,-294243520.5493475,0.0,1100000000,0,650000000,,
1,650000000,-294243520.5493475,0.0,1100000000,1,630152700.5801051,0.03,39347299.41989498
1,650000000,-294243520.5493475,0.0,1100000000,2,609709982.1776133,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,3,588653982.2230467,0.03,39347299.419895
1,650000000,-294243520.5493475,0.0,1100000000,4,566966302.2698431,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,5,544627991.9180434,0.03,39347299.419895
1,650000000,-294243520.5493475,0.0,1100000000,6,521619532.2556897,0.03,39347299.419894986
1,650000000,-294243520.5493475,0.0,1100000000,7,497920818.8034654,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,8,473511143.9476744,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,9,448369178.84620965,0.03,39347299.41989501
1,650000000,-294243520.5493475,0.0,1100000000,10,422472954.79170096,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,11,395799844.015557,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,12,368326539.9161287,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,13,340029036.6937176,0.03,39347299.41989498
1,650000000,-294243520.5493475,0.0,1100000000,14,310882608.37463415,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,15,280861787.2059782,0.03,39347299.41989501
1,650000000,-294243520.5493475,0.0,1100000000,16,249940341.40226257,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,17,218091252.22443545,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,18,185286690.37127352,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,19,151497991.66251674,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,20,116695631.99249727,0.03,39347299.419895
1,650000000,-294243520.5493475,0.0,1100000000,21,80849201.53237721,0.03,39347299.41989498
1,650000000,-294243520.5493475,0.0,1100000000,22,43927378.15845352,0.03,39347299.419895016
1,650000000,-294243520.5493475,0.0,1100000000,23,5897900.083312146,0.03,39347299.41989498
1,650000000,-294243520.5493475,0.0,1100000000,24,-33272462.33408349,0.03,39347299.419895
1,650000000,-294243520.5493475,0.0,1100000000,25,-73617935.624001,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,26,-115173773.11261602,0.03,39347299.41989499
1,650000000,-294243520.5493475,0.0,1100000000,27,-157976285.72588947,0.03,39347299.41989498
1,650000000,-294243520.5493475,0.0,1100000000,28,-202062873.7175612,0.03,39347299.41989501
1,650000000,-294243520.5493475,0.0,1100000000,29,-247472059.348983,0.03,39347299.41989498
1,650000000,-294243520.5493475,0.0,1100000000,30,-294243520.5493475,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,0,875000000.0,,
2,875000000.0,251890535.4683261,650000000,1100000000,1,861902700.5801051,0.03,39347299.41989498
2,875000000.0,251890535.4683261,650000000,1100000000,2,848412482.1776133,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,3,834517557.2230467,0.03,39347299.419895
2,875000000.0,251890535.4683261,650000000,1100000000,4,820205784.5198431,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,5,805464658.6355433,0.03,39347299.419895
2,875000000.0,251890535.4683261,650000000,1100000000,6,790281298.9747148,0.03,39347299.419894986
2,875000000.0,251890535.4683261,650000000,1100000000,7,774642438.5240612,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,8,758534412.2598882,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,9,741943145.2077898,0.03,39347299.41989501
2,875000000.0,251890535.4683261,650000000,1100000000,10,724854140.1441286,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,11,707252464.9285574,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,12,689122739.4565191,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,13,670449122.2203197,0.03,39347299.41989498
2,875000000.0,251890535.4683261,650000000,1100000000,14,651215296.4670343,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,15,631404455.9411503,0.03,39347299.41989501
2,875000000.0,251890535.4683261,650000000,1100000000,16,610999290.1994898,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,17,589981969.4855795,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,18,568334129.1502519,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,19,546036853.6048644,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,20,523070659.7931153,0.03,39347299.419895
2,875000000.0,251890535.4683261,650000000,1100000000,21,499415480.1670138,0.03,39347299.41989498
2,875000000.0,251890535.4683261,650000000,1100000000,22,475050645.15212923,0.03,39347299.419895016
2,875000000.0,251890535.4683261,650000000,1100000000,23,449954865.08679813,0.03,39347299.41989498
2,875000000.0,251890535.4683261,650000000,1100000000,24,424106211.6195071,0.03,39347299.419895
2,875000000.0,251890535.4683261,650000000,1100000000,25,397482098.5481973,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,26,370059262.08474827,0.03,39347299.41989499
2,875000000.0,251890535.4683261,650000000,1100000000,27,341813740.5273957,0.03,39347299.41989498
2,875000000.0,251890535.4683261,650000000,1100000000,28,312720853.3233226,0.03,39347299.41989501
2,875000000.0,251890535.4683261,650000000,1100000000,29,282755179.5031273,0.03,39347299.41989498
2,875000000.0,251890535.4683261,650000000,1100000000,30,251890535.4683261,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,0,762500000.0,,
3,762500000.0,-21176492.540510617,650000000,875000000.0,1,746027700.5801051,0.03,39347299.41989498
3,762500000.0,-21176492.540510617,650000000,875000000.0,2,729061232.1776133,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,3,711585769.7230467,0.03,39347299.419895
3,762500000.0,-21176492.540510617,650000000,875000000.0,4,693586043.3948431,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,5,675046325.2767934,0.03,39347299.419895
3,762500000.0,-21176492.540510617,650000000,875000000.0,6,655950415.6152022,0.03,39347299.419894986
3,762500000.0,-21176492.540510617,650000000,875000000.0,7,636281628.6637633,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,8,616022778.1037812,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,9,595156162.0269996,0.03,39347299.41989501
3,762500000.0,-21176492.540510617,650000000,875000000.0,10,573663547.4679146,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,11,551526154.4720571,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,12,528724639.6863238,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,13,505239079.45701855,0.03,39347299.41989498
3,762500000.0,-21176492.540510617,650000000,875000000.0,14,481048952.4208341,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,15,456133121.5735642,0.03,39347299.41989501
3,762500000.0,-21176492.540510617,650000000,875000000.0,16,430469815.80087614,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,17,404036610.85500747,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,18,376810409.7607627,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,19,348767422.6336906,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,20,319883145.89280635,0.03,39347299.419895
3,762500000.0,-21176492.540510617,650000000,875000000.0,21,290132340.84969556,0.03,39347299.41989498
3,762500000.0,-21176492.540510617,650000000,875000000.0,22,259489011.6552914,0.03,39347299.419895016
3,762500000.0,-21176492.540510617,650000000,875000000.0,23,227926382.58505517,0.03,39347299.41989498
3,762500000.0,-21176492.540510617,650000000,875000000.0,24,195416874.64271185,0.03,39347299.419895
3,762500000.0,-21176492.540510617,650000000,875000000.0,25,161932081.4620982,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,26,127442744.48606616,0.03,39347299.41989499
3,762500000.0,-21176492.540510617,650000000,875000000.0,27,91918727.40075317,0.03,39347299.41989498
3,762500000.0,-21176492.540510617,650000000,875000000.0,28,55328989.802880764,0.03,39347299.41989501
3,762500000.0,-21176492.540510617,650000000,875000000.0,29,17641560.07707221,0.03,39347299.41989498
3,762500000.0,-21176492.540510617,650000000,875000000.0,30,-21176492.540510617,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,0,818750000.0,,
4,818750000.0,115357021.46390781,762500000.0,875000000.0,1,803965200.5801051,0.03,39347299.41989498
4,818750000.0,115357021.46390781,762500000.0,875000000.0,2,788736857.1776133,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,3,773051663.4730467,0.03,39347299.419895
4,818750000.0,115357021.46390781,762500000.0,875000000.0,4,756895913.9573431,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,5,740255491.9561684,0.03,39347299.419895
4,818750000.0,115357021.46390781,762500000.0,875000000.0,6,723115857.2949586,0.03,39347299.419894986
4,818750000.0,115357021.46390781,762500000.0,875000000.0,7,705462033.5939124,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,8,687278595.1818347,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,9,668549653.6173947,0.03,39347299.41989501
4,818750000.0,115357021.46390781,762500000.0,875000000.0,10,649258843.8060215,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,11,629389309.7003071,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,12,608923689.5714214,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,13,587844100.8386691,0.03,39347299.41989498
4,818750000.0,115357021.46390781,762500000.0,875000000.0,14,566132124.4439342,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,15,543768788.7573572,0.03,39347299.41989501
4,818750000.0,115357021.46390781,762500000.0,875000000.0,16,520734553.0001829,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,17,497009290.17029345,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,18,472572269.4555073,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,19,447402138.11927754,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,20,421476902.8429609,0.03,39347299.419895
4,818750000.0,115357021.46390781,762500000.0,875000000.0,21,394773910.5083547,0.03,39347299.41989498
4,818750000.0,115357021.46390781,762500000.0,875000000.0,22,367269828.40371037,0.03,39347299.419895016
4,818750000.0,115357021.46390781,762500000.0,875000000.0,23,338940623.8359267,0.03,39347299.41989498
4,818750000.0,115357021.46390781,762500000.0,875000000.0,24,309761543.13110954,0.03,39347299.419895
4,818750000.0,115357021.46390781,762500000.0,875000000.0,25,279707090.0051478,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,26,248751003.28540725,0.03,39347299.41989499
4,818750000.0,115357021.46390781,762500000.0,875000000.0,27,216866233.9640745,0.03,39347299.41989498
4,818750000.0,115357021.46390781,762500000.0,875000000.0,28,184024921.5631017,0.03,39347299.41989501
4,818750000.0,115357021.46390781,762500000.0,875000000.0,29,150198369.7900998,0.03,39347299.41989498
4,818750000.0,115357021.46390781,762500000.0,875000000.0,30,115357021.46390781,0.03,39347299.41989499
5,790625000.0,47090264.461698756,762500000.0,818750000.0,0,790625000.0,,
5,790625000.0,47090264.461698756,762500000.0,818750000.0,1,774996450.5801051,0.03,39347299.41989498
5,790625000.0,47090264.461698756,762500000.0,818750000.0,2,758899044.6776133,0.03,39347299.41989499
5,790625000.0,47090264.461698756,762500000.0,818750000.0,3,742318716.5980467,0.03,39347299.419895
5,790625000.0,47090264.461698756,762500000.0,818750000.0,4,725240978.6760931,0.03,39347299.41989499
5,790625000.0,47090264.461698756,762500000.0,818750000.0,5,707650908.6164808,0.03,39347299.419895
5,790625000.0,47090264.461698756,762500000.0,818750000.0,6,689533136.4550804,0.03,39347299.419894986
5,790625000.0,47090264.461698756,762500000.0,818750000.0,7,670871831.1288378,0.03,39347299.41989499
5,790625000.0,47090264.461698756,762500000.0,818750000.0,8,651650686.642808,0.03,39347299.41989499
5,790625000.0,47090264.461698756,762500000.0,818750000.0,9,631852907.8221972,0.03,39347299.41989501
5,790625000.0,47090264.461698756,762500000.0,818750000.0,10,611461195.6369681,0.03,39347299.41989499
5,790625000.0,47090264.461698756,762500000.0,818750000.0,11,590457732.0861821,0.03,39347299.41989499
5,790625000.0,47090264.461698756,762500000.0,818750000.0,12,568824164.6288726,0.03,39347299.41989499
5,790625000.0,47090264.461698756,762500000.0,818750000.0,13,546541590.1478438,0.03,39347299.41989498
5,790625000.0,47090264.461698756,762500000.0,818750000.0,14,523590538.4323842,0.03,39347299.41989499
5,790625000.0,47090264.461698756,762500000.0,818750000.0,15,499950955.16546077,0.03,39347299.41989501
5,790625000.0,47090264.461698756,762500000.0,818750000.0,16,475602184.4005296,0.03,39347299.41989499
5,790625000.0,47090264.461698756,762500000.0,818750000.0,17,450522950.51265055,0.03,39347299.41989499
