Iteration,Capital,Final Reserve,Min Bound,Max Bound,Year,Reserve,Asset Yield,Liability Benefit
1,650000000,-815169184.294418,0.0,1100000000,0,650000000,,
1,650000000,-815169184.294418,0.0,1100000000,1,619203228.9672728,0.03,50296771.0327273
1,650000000,-815169184.294418,0.0,1100000000,2,587482554.8035636,0.03,50296771.03272732
1,650000000,-815169184.294418,0.0,1100000000,3,554810260.4149431,0.03,50296771.03272731
1,650000000,-815169184.294418,0.0,1100000000,4,521157797.19466406,0.03,50296771.032727316
1,650000000,-815169184.294418,0.0,1100000000,5,486495760.0777767,0.03,50296771.03272732
1,650000000,-815169184.294418,0.0,1100000000,6,450793861.84738266,0.03,50296771.0327273
1,650000000,-815169184.294418,0.0,1100000000,7,414020906.67007685,0.03,50296771.032727316
1,650000000,-815169184.294418,0.0,1100000000,8,376144762.8374519,0.03,50296771.0327273
1,650000000,-815169184.294418,0.0,1100000000,9,337132334.6898481,0.03,50296771.03272731
1,650000000,-815169184.294418,0.0,1100000000,10,296949533.69781625,0.03,50296771.032727316
1,650000000,-815169184.294418,0.0,1100000000,11,255561248.67602342,0.03,50296771.03272731
1,650000000,-815169184.294418,0.0,1100000000,12,212931315.10357684,0.03,50296771.032727316
1,650000000,-815169184.294418,0.0,1100000000,13,169022483.5239568,0.03,50296771.03272732
1,650000000,-815169184.294418,0.0,1100000000,14,123796386.99694821,0.03,50296771.0327273
1,650000000,-815169184.294418,0.0,1100000000,15,77213507.57412934,0.03,50296771.032727316
1,650000000,-815169184.294418,0.0,1100000000,16,29233141.768625923,0.03,50296771.03272731
1,650000000,-815169184.294418,0.0,1100000000,17,-20186635.011042614,0.03,50296771.032727316
1,650000000,-815169184.294418,0.0,1100000000,18,-71089005.09410122,0.03,50296771.03272732
1,650000000,-815169184.294418,0.0,1100000000,19,-123518446.27965157,0.03,50296771.0327273
1,650000000,-815169184.294418,0.0,1100000000,20,-177520770.7007684,0.03,50296771.0327273
1,650000000,-815169184.294418,0.0,1100000000,21,-233143164.85451877,0.03,50296771.0327273
1,650000000,-815169184.294418,0.0,1100000000,22,-290434230.8328816,0.03,50296771.03272731
1,650000000,-815169184.294418,0.0,1100000000,23,-349444028.7905954,0.03,50296771.032727316
1,650000000,-815169184.294418,0.0,1100000000,24,-410224120.68704057,0.03,50296771.03272732
1,650000000,-815169184.294418,0.0,1100000000,25,-472827615.3403791,0.03,50296771.03272731
1,650000000,-815169184.294418,0.0,1100000000,26,-537309214.8333178,0.03,50296771.0327273
1,650000000,-815169184.294418,0.0,1100000000,27,-603725262.3110447,0.03,50296771.03272732
1,650000000,-815169184.294418,0.0,1100000000,28,-672133791.2131034,0.03,50296771.03272731
1,650000000,-815169184.294418,0.0,1100000000,29,-742594575.9822239,0.03,50296771.032727316
1,650000000,-815169184.294418,0.0,1100000000,30,-815169184.294418,0.03,50296771.03272732
2,875000000.0,-269035128.2767441,650000000,1100000000,0,875000000.0,,
2,875000000.0,-269035128.2767441,650000000,1100000000,1,850953228.9672728,0.03,50296771.0327273
2,875000000.0,-269035128.2767441,650000000,1100000000,2,826185054.8035636,0.03,50296771.03272732
2,875000000.0,-269035128.2767441,650000000,1100000000,3,800673835.4149432,0.03,50296771.03272731
2,875000000.0,-269035128.2767441,650000000,1100000000,4,774397279.4446641,0.03,50296771.032727316
2,875000000.0,-269035128.2767441,650000000,1100000000,5,747332426.7952768,0.03,50296771.03272732
2,875000000.0,-269035128.2767441,650000000,1100000000,6,719455628.5664077,0.03,50296771.0327273
2,875000000.0,-269035128.2767441,650000000,1100000000,7,690742526.3906726,0.03,50296771.032727316
2,875000000.0,-269035128.2767441,650000000,1100000000,8,661168031.1496654,0.03,50296771.0327273
2,875000000.0,-269035128.2767441,650000000,1100000000,9,630706301.051428,0.03,50296771.03272731
2,875000000.0,-269035128.2767441,650000000,1100000000,10,599330719.0502435,0.03,50296771.032727316
2,875000000.0,-269035128.2767441,650000000,1100000000,11,567013869.5890235,0.03,50296771.03272731
2,875000000.0,-269035128.2767441,650000000,1100000000,12,533727514.64396685,0.03,50296771.032727316
2,875000000.0,-269035128.2767441,650000000,1100000000,13,499442569.0505586,0.03,50296771.03272732
2,875000000.0,-269035128.2767441,650000000,1100000000,14,464129075.0893481,0.03,50296771.0327273
2,875000000.0,-269035128.2767441,650000000,1100000000,15,427756176.30930126,0.03,50296771.032727316
2,875000000.0,-269035128.2767441,650000000,1100000000,16,390292090.565853,0.03,50296771.03272731
2,875000000.0,-269035128.2767441,650000000,1100000000,17,351704082.2501013,0.03,50296771.032727316
2,875000000.0,-269035128.2767441,650000000,1100000000,18,311958433.6848771,0.03,50296771.03272732
2,875000000.0,-269035128.2767441,650000000,1100000000,19,271020415.6626961,0.03,50296771.0327273
2,875000000.0,-269035128.2767441,650000000,1100000000,20,228854257.0998497,0.03,50296771.0327273
2,875000000.0,-269035128.2767441,650000000,1100000000,21,185423113.7801179,0.03,50296771.0327273
2,875000000.0,-269035128.2767441,650000000,1100000000,22,140689036.16079414,0.03,50296771.03272731
2,875000000.0,-269035128.2767441,650000000,1100000000,23,94612936.21289064,0.03,50296771.032727316
2,875000000.0,-269035128.2767441,650000000,1100000000,24,47154553.26655004,0.03,50296771.03272732
2,875000000.0,-269035128.2767441,650000000,1100000000,25,-1727581.1681807637,0.03,50296771.03272731
2,875000000.0,-269035128.2767441,650000000,1100000000,26,-52076179.635953486,0.03,50296771.0327273
2,875000000.0,-269035128.2767441,650000000,1100000000,27,-103935236.05775942,0.03,50296771.03272732
2,875000000.0,-269035128.2767441,650000000,1100000000,28,-157350064.1722195,0.03,50296771.03272731
2,875000000.0,-269035128.2767441,650000000,1100000000,29,-212367337.13011342,0.03,50296771.032727316
2,875000000.0,-269035128.2767441,650000000,1100000000,30,-269035128.2767441,0.03,50296771.03272732
3,987500000.0,4031899.73209247,875000000.0,1100000000,0,987500000.0,,
3,987500000.0,4031899.73209247,875000000.0,1100000000,1,966828228.9672728,0.03,50296771.0327273
3,987500000.0,4031899.73209247,875000000.0,1100000000,2,945536304.8035636,0.03,50296771.03272732
3,987500000.0,4031899.73209247,875000000.0,1100000000,3,923605622.9149432,0.03,50296771.03272731
3,987500000.0,4031899.73209247,875000000.0,1100000000,4,901017020.5696641,0.03,50296771.032727316
3,987500000.0,4031899.73209247,875000000.0,1100000000,5,877750760.1540267,0.03,50296771.03272732
3,987500000.0,4031899.73209247,875000000.0,1100000000,6,853786511.9259202,0.03,50296771.0327273
3,987500000.0,4031899.73209247,875000000.0,1100000000,7,829103336.2509705,0.03,50296771.032727316
3,987500000.0,4031899.73209247,875000000.0,1100000000,8,803679665.3057723,0.03,50296771.0327273
3,987500000.0,4031899.73209247,875000000.0,1100000000,9,777493284.2322181,0.03,50296771.03272731
3,987500000.0,4031899.73209247,875000000.0,1100000000,10,750521311.7264574,0.03,50296771.032727316
3,987500000.0,4031899.73209247,875000000.0,1100000000,11,722740180.0455238,0.03,50296771.03272731
3,987500000.0,4031899.73209247,875000000.0,1100000000,12,694125614.4141622,0.03,50296771.032727316
3,987500000.0,4031899.73209247,875000000.0,1100000000,13,664652611.8138597,0.03,50296771.03272732
3,987500000.0,4031899.73209247,875000000.0,1100000000,14,634295419.1355481,0.03,50296771.0327273
3,987500000.0,4031899.73209247,875000000.0,1100000000,15,603027510.6768873,0.03,50296771.032727316
3,987500000.0,4031899.73209247,875000000.0,1100000000,16,570821564.9644666,0.03,50296771.03272731
3,987500000.0,4031899.73209247,875000000.0,1100000000,17,537649440.8806732,0.03,50296771.032727316
3,987500000.0,4031899.73209247,875000000.0,1100000000,18,503482153.07436603,0.03,50296771.03272732
3,987500000.0,4031899.73209247,875000000.0,1100000000,19,468289846.6338697,0.03,50296771.0327273
3,987500000.0,4031899.73209247,875000000.0,1100000000,20,432041771.0001585,0.03,50296771.0327273
3,987500000.0,4031899.73209247,875000000.0,1100000000,21,394706253.09743595,0.03,50296771.0327273
3,987500000.0,4031899.73209247,875000000.0,1100000000,22,356250669.65763175,0.03,50296771.03272731
3,987500000.0,4031899.73209247,875000000.0,1100000000,23,316641418.7146334,0.03,50296771.032727316
3,987500000.0,4031899.73209247,875000000.0,1100000000,24,275843890.24334514,0.03,50296771.03272732
3,987500000.0,4031899.73209247,875000000.0,1100000000,25,233822435.9179182,0.03,50296771.03272731
3,987500000.0,4031899.73209247,875000000.0,1100000000,26,190540337.96272847,0.03,50296771.0327273
3,987500000.0,4031899.73209247,875000000.0,1100000000,27,145959777.068883,0.03,50296771.03272732
3,987500000.0,4031899.73209247,875000000.0,1100000000,28,100041799.3482222,0.03,50296771.03272731
3,987500000.0,4031899.73209247,875000000.0,1100000000,29,52746282.29594155,0.03,50296771.032727316
3,987500000.0,4031899.73209247,875000000.0,1100000000,30,4031899.73209247,0.03,50296771.03272732
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,0,931250000.0,,
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,1,908890728.9672728,0.03,50296771.0327273
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,2,885860679.8035636,0.03,50296771.03272732
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,3,862139729.1649432,0.03,50296771.03272731
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,4,837707150.0071641,0.03,50296771.032727316
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,5,812541593.4746517,0.03,50296771.03272732
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,6,786621070.2461641,0.03,50296771.0327273
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,7,759922931.3208216,0.03,50296771.032727316
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,8,732423848.2277191,0.03,50296771.0327273
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,9,704099792.6418233,0.03,50296771.03272731
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,10,674926015.3883506,0.03,50296771.032727316
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,11,644877024.8172737,0.03,50296771.03272731
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,12,613926564.5290647,0.03,50296771.032727316
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,13,582047590.4322093,0.03,50296771.03272732
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,14,549212247.1124482,0.03,50296771.0327273
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,15,515391843.4930944,0.03,50296771.032727316
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,16,480556827.7651599,0.03,50296771.03272731
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,17,444676761.5653874,0.03,50296771.032727316
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,18,407720293.37962174,0.03,50296771.03272732
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,19,369655131.1482831,0.03,50296771.0327273
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,20,330448014.0500043,0.03,50296771.0327273
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,21,290064683.43877715,0.03,50296771.0327273
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,22,248469852.9092132,0.03,50296771.03272731
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,23,205627177.46376228,0.03,50296771.032727316
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,24,161499221.75494784,0.03,50296771.03272732
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,25,116047427.37486899,0.03,50296771.03272731
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,26,69232079.16338776,0.03,50296771.0327273
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,27,21012270.505562074,0.03,50296771.03272732
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,28,-28654132.411998373,0.03,50296771.03272731
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,29,-79810527.41708565,0.03,50296771.032727316
4,931250000.0,-132501614.27232555,875000000.0,987500000.0,30,-132501614.27232555,0.03,50296771.03272732
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,0,959375000.0,,
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,1,937859478.9672728,0.03,50296771.0327273
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,2,915698492.3035636,0.03,50296771.03272732
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,3,892872676.0399432,0.03,50296771.03272731
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,4,869362085.2884141,0.03,50296771.032727316
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,5,845146176.8143392,0.03,50296771.03272732
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,6,820203791.0860422,0.03,50296771.0327273
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,7,794513133.7858961,0.03,50296771.032727316
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,8,768051756.7667456,0.03,50296771.0327273
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,9,740796538.4370205,0.03,50296771.03272731
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,10,712723663.5574038,0.03,50296771.032727316
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,11,683808602.4313986,0.03,50296771.03272731
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,12,654026089.4716133,0.03,50296771.032727316
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,13,623350101.1230344,0.03,50296771.03272732
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,14,591753833.1239982,0.03,50296771.0327273
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,15,559209677.0849907,0.03,50296771.032727316
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,16,525689196.36481315,0.03,50296771.03272731
5,959375000.0,-64234857.27011654,931250000.0,987500000.0,17,491163101.22303027,0.03,50296771.032727316
