policyholder_id,age,premium,frequency,annuity_payments
1,60,208966.81526766246,annual,90000
2,27,10382.300357586022,annual,90000
3,21,7380.490257362086,annual,90000
4,37,19250.636199062217,annual,90000
5,35,16901.224991259136,annual,90000
6,34,15859.680748177727,annual,90000
7,28,11008.601732360285,annual,90000
8,26,9796.903090396747,annual,90000
9,54,80452.67134089895,annual,90000
10,25,9249.17129119472,annual,90000
11,57,120255.18686989367,annual,90000
12,47,40287.23051242681,annual,90000
13,22,7804.128047730211,annual,90000
14,21,7380.490257362086,annual,90000
15,25,9249.17129119472,annual,90000
16,33,14895.499489914984,annual,90000
17,34,15859.680748177727,annual,90000
18,52,64351.806336214395,annual,90000
19,58,141282.68228562735,annual,90000
20,21,7380.490257362086,annual,90000
21,55,91005.81246955584,annual,90000
22,32,14001.425334833166,annual,90000
23,54,80452.67134089895,annual,90000
24,46,37076.00567602293,annual,90000
25,34,15859.680748177727,annual,90000
26,48,43905.878087580415,annual,90000
27,57,120255.18686989367,annual,90000
28,37,19250.636199062217,annual,90000
29,20,6982.407484340589,annual,90000
30,30,12398.729434295965,annual,90000
31,47,40287.23051242681,annual,90000
32,41,25334.5433005938,annual,90000
33,37,19250.636199062217,annual,90000
34,29,11679.40686123894,annual,90000
35,33,14895.499489914984,annual,90000
36,41,25334.5433005938,annual,90000
37,26,9796.903090396747,annual,90000
38,25,9249.17129119472,annual,90000
39,44,31641.11227989534,annual,90000
40,26,9796.903090396747,annual,90000
41,42,27233.9548384463,annual,90000
42,42,27233.9548384463,annual,90000
43,58,141282.68228562735,annual,90000
44,36,18028.394480813804,annual,90000
45,22,7804.128047730211,annual,90000
46,49,48008.99672468897,annual,90000
47,54,80452.67134089895,annual,90000
48,27,10382.300357586022,annual,90000
49,44,31641.11227989534,annual,90000
50,25,9249.17129119472,annual,90000
51,55,91005.81246955584,annual,90000
52,38,20578.799221523488,annual,90000
53,60,208966.81526766246,annual,90000
54,59,169428.32511477164,annual,90000
55,43,29326.793830249957,annual,90000
56,56,103971.13739792288,annual,90000
57,32,14001.425334833166,annual,90000
58,24,8736.184335389007,annual,90000
59,22,7804.128047730211,annual,90000
60,34,15859.680748177727,annual,90000
61,38,20578.799221523488,annual,90000
62,25,9249.17129119472,annual,90000
63,34,15859.680748177727,annual,90000
64,26,9796.903090396747,annual,90000
65,44,31641.11227989534,annual,90000
66,37,19250.636199062217,annual,90000
67,49,48008.99672468897,annual,90000
68,60,208966.81526766246,annual,90000
69,43,29326.793830249957,annual,90000
70,30,12398.729434295965,annual,90000
71,43,29326.793830249957,annual,90000
72,42,27233.9548384463,annual,90000
73,33,14895.499489914984,annual,90000
74,37,19250.636199062217,annual,90000
75,24,8736.184335389007,annual,90000
76,58,141282.68228562735,annual,90000
77,60,208966.81526766246,annual,90000
78,30,12398.729434295965,annual,90000
79,54,80452.67134089895,annual,90000
80,35,16901.224991259136,annual,90000
81,30,12398.729434295965,annual,90000
82,49,48008.99672468897,annual,90000
83,44,31641.11227989534,annual,90000
84,37,19250.636199062217,annual,90000
85,60,208966.81526766246,annual,90000
86,55,91005.81246955584,annual,90000
87,34,15859.680748177727,annual,90000
88,40,23605.002338179533,annual,90000
89,23,8255.301135070287,annual,90000
90,34,15859.680748177727,annual,90000
91,22,7804.128047730211,annual,90000
92,40,23605.002338179533,annual,90000
93,45,34210.588419718326,annual,90000
